叕	zhuo	primary
取	qu	primary
受	shou	primary
变	bian	primary
叙	xu	primary
叚	jia	primary
叚	xia	alt
叛	pan	primary
叟	sou	primary
叠	die	primary
口	kou	primary
古	gu	primary
句	ju	primary
句	gou	alt
另	ling	primary
叨	dao	primary
叨	tao	alt
叩	kou	primary
只	zhi	primary
叫	jiao	primary
召	zhao	primary
召	shao	alt
叭	ba	primary
叮	ding	primary
可	ke	primary
台	tai	primary
叱	chi	primary
史	shi	primary
右	you	primary
叵	po	primary
叶	ye	primary
叶	xie	alt
号	hao	primary
司	si	primary
叹	tan	primary
叻	le	primary
叼	diao	primary
叽	ji	primary
吁	xu	primary
吁	yu	alt
吃	chi	primary
各	ge	primary
吆	yao	primary
合	he	primary
合	ge	alt
吉	ji	primary
吊	diao	primary
同	tong	primary
名	ming	primary
后	hou	primary
吏	li	primary
吐	tu	primary
向	xiang	primary
吒	zha	primary
吓	xia	primary
吓	he	alt
吕	lv	primary
吖	ya	primary
吖	a	alt
吗	ma	primary
君	jun	primary
吝	lin	primary
吞	tun	primary
吟	yin	primary
吠	fei	primary
吡	bi	primary
吣	qin	primary
否	fou	primary
否	pi	alt
吧	ba	primary
吨	dun	primary
吩	fen	primary
含	han	primary
听	ting	primary
吭	keng	primary
吭	hang	alt
吮	shun	primary
启	qi	primary
吱	zhi	primary
吱	zi	alt
吲	yin	primary
吴	wu	primary
吵	chao	primary
吸	xi	primary
吹	chui	primary
吻	wen	primary
吼	hou	primary
吽	hong	primary
吾	wu	primary
呀	ya	primary
呃	e	primary
呆	dai	primary
呇	qi	primary
呇	men	alt
呈	cheng	primary
告	gao	primary
呋	fu	primary
呐	na	primary
呒	wu	primary
呒	m	alt
呓	yi	primary
呔	dai	primary
呕	ou	primary
呖	li	primary
呗	bei	primary
员	yuan	primary
员	yun	alt
呙	guo	primary
呛	qiang	primary
呜	wu	primary
呢	ne	primary
呢	ni	alt
呣	m	primary
呤	ling	primary
呦	you	primary
周	zhou	primary
呱	gu	primary
呱	gua	alt
呲	ci	primary
味	wei	primary
呵	he	primary
呶	nao	primary
呷	ga	primary
呷	xia	alt
呸	pei	primary
呻	shen	primary
呼	hu	primary
命	ming	primary
咀	ju	primary
咀	zui	alt
咂	za	primary
咄	duo	primary
咆	pao	primary
咇	bie	primary
咇	bi	alt
咉	yang	primary
咋	za	primary
咋	ze	alt
咋	zha	alt
和	he	primary
和	hu	alt
和	huo	alt
咍	hai	primary
咎	jiu	primary
咏	yong	primary
咐	fu	primary
咒	zhou	primary
咔	ka	primary
咕	gu	primary
咖	ka	primary
咖	ga	alt
咙	long	primary
咚	dong	primary
咛	ning	primary
咝	si	primary
咡	er	primary
咣	guang	primary
咤	zha	primary
咥	xi	primary
咦	yi	primary
咧	lie	primary
咨	zi	primary
咩	mie	primary
咪	mi	primary
咫	zhi	primary
咬	yao	primary
咯	ge	primary
咯	ka	alt
咯	lo	alt
咯	luo	alt
咱	zan	primary
咳	ke	primary
咳	hai	alt
咴	hui	primary
咸	xian	primary
咺	xuan	primary
咻	xiu	primary
咽	yan	primary
咽	ye	alt
咿	yi	primary
哀	ai	primary
品	pin	primary
哂	shen	primary
哃	tong	primary
哄	hong	primary
哆	duo	primary
哇	wa	primary
哈	ha	primary
哉	zai	primary
哌	pai	primary
响	xiang	primary
哎	ai	primary
哏	gen	primary
哐	kuang	primary
哑	ya	primary
哒	da	primary
哓	xiao	primary
哔	bi	primary
哕	hui	primary
哕	yue	alt
哗	hua	primary
哙	kuai	primary
哚	duo	primary
哝	nong	primary
哞	mou	primary
哟	yo	primary
哢	long	primary
哥	ge	primary
哦	o	primary
哦	e	alt
哧	chi	primary
哨	shao	primary
哩	li	primary
哪	na	primary
哪	ne	alt
哭	ku	primary
哮	xiao	primary
哱	bo	primary
哲	zhe	primary
哳	zha	primary
哺	bu	primary
哼	heng	primary
哼	hng	alt
哽	geng	primary
哿	ge	primary
唁	yan	primary
唆	suo	primary
唇	chun	primary
唉	ai	primary
唏	xi	primary
唐	tang	primary
唑	zuo	primary
唔	wu	primary
唛	ma	primary
唛	mai	alt
唝	gong	primary
唝	hong	alt
唠	lao	primary
唢	suo	primary
唣	zao	primary
唤	huan	primary
唧	ji	primary
唪	feng	primary
唬	hu	primary
售	shou	primary
唯	wei	primary
唰	shua	primary
唱	chang	primary
唳	li	primary
唵	an	primary
唷	yo	primary
唼	sha	primary
唾	tuo	primary
唿	hu	primary
啁	zhao	primary
啁	zhou	alt
啃	ken	primary
啄	zhuo	primary
商	shang	primary
啉	lin	primary
啊	a	primary
啐	cui	primary
啕	tao	primary
啖	dan	primary
啜	chuai	primary
啜	chuo	alt
啡	fei	primary
啤	pi	primary
啥	sha	primary
啦	la	primary
啧	ze	primary
啪	pa	primary
啫	zhe	primary
啬	se	primary
啭	zhuan	primary
啮	nie	primary
啰	luo	primary
啴	chan	primary
啵	bo	primary
啶	ding	primary
啷	lang	primary
啸	xiao	primary
啻	chi	primary
啼	ti	primary
啾	jiu	primary
喀	ka	primary
喁	yong	primary
喁	yu	alt
喂	wei	primary
喃	nan	primary
善	shan	primary
喆	zhe	primary
喇	la	primary
喈	jie	primary
喉	hou	primary
喊	han	primary
喋	die	primary
喋	zha	alt
喏	nuo	primary
喑	yin	primary
喔	o	primary
喔	wo	alt
喘	chuan	primary
喙	hui	primary
喜	xi	primary
喝	he	primary
喟	kui	primary
喤	huang	primary
喧	xuan	primary
喱	li	primary
喳	zha	primary
喳	cha	alt
喵	miao	primary
喷	pen	primary
喹	kui	primary
喻	yu	primary
喽	lou	primary
喾	ku	primary
嗄	a	primary
嗄	sha	alt
嗅	xiu	primary
嗉	su	primary
嗌	ai	primary
嗌	yi	alt
嗍	suo	primary
嗐	hai	primary
嗑	ke	primary
嗒	da	primary
嗓	sang	primary
嗔	chen	primary
嗖	sou	primary
嗜	shi	primary
嗝	ge	primary
嗞	zi	primary
嗟	jie	primary
嗡	weng	primary
嗣	si	primary
嗤	chi	primary
嗥	hao	primary
嗦	suo	primary
嗨	hai	primary
嗪	qin	primary
嗫	nie	primary
嗬	he	primary
嗯	n	primary
嗯	ng	alt
嗲	die	primary
嗲	dia	alt
嗳	ai	primary
嗵	tong	primary
嗷	ao	primary
嗽	sou	primary
嗾	sou	primary
嘀	di	primary
嘁	qi	primary
嘈	cao	primary
嘉	jia	primary
嘌	piao	primary
嘎	ga	primary
嘏	gu	primary
嘘	xu	primary
嘘	shi	alt
嘚	de	primary
嘚	dei	alt
嘛	ma	primary
嘞	lei	primary
嘟	du	primary
嘡	tang	primary
嘣	beng	primary
嘤	ying	primary
嘧	mi	primary
