# XHUP Flow 规范高频词语数据:万象 / RIME-LMDG 基础词库的规范子集
# source_repo: amzxyz/rime-wanxiang
# source_commit: 4618d67a978ff4f41b165c10b35558d38e333ab1
# source_path: dicts/jichu.dict.yaml
# source_blob_sha: a0f66e2fc6130f3f1c9b2e5109644c8b893477b0
# source_license: CC-BY-4.0
# semantic_source: amzxyz/RIME-LMDG
# normalization: 与字频数据一致(去声调五组;ü 族→v;ńňǹ→n;ḿ→m;
#   归一化后仍含非 a-z 字符的源读音视为坏行忽略)
# aggregation: 归一化后落到同一 (词, 规范读音序列) 的全部源行分数按 u64 校验和聚合
# match_policy: 每字属于规范 8105 清单、对应读音是该字规范读音且可编码为
#   XHUP 输入音节;不发明新读音
# collision_policy: 二字词按 semantic entry(词 + 读音序列)推导 4 键码,
#   与规范单字全码集冲突的 semantic entry 被排除;同词形的不冲突读音序列保留
# selection: 各词长独立按 (分数降序, 词 Unicode 升序, 读音序列升序) 取
#   前 50000 / 30000 / 20000 条;合法候选不足目标即失败,不静默缩水
# serialization: 词长升序 → 词 Unicode 升序 → 读音序列升序
# rows: 100000
三部	san bu	3519
三重	san chong	2427
三门	san men	3197
三问	san wen	763
三防	san fang	750
三阴	san yin	906
三阶	san jie	775
三雄	san xiong	738
三集	san ji	935
三面	san mian	1777
三音	san yin	954
三顶	san ding	952
三项	san xiang	2917
三颗	san ke	1765
三题	san ti	864
三餐	san can	3005
三首	san shou	2204
三马	san ma	838
三高	san gao	1586
三魂	san hun	783
三鲜	san xian	3146
三鼎	san ding	825
三龙	san long	738
上一	shang yi	2819
上万	shang wan	3526
上三	shang san	1624
上上	shang shang	1692
上下	shang xia	30342
上不	shang bu	2726
上个	shang ge	8751
上书	shang shu	2857
上了	shang le	51480
上云	shang yun	1086
上交	shang jiao	6892
上亿	shang yi	1874
上代	shang dai	935
上令	shang ling	909
上仰	shang yang	1830
上价	shang jia	928
上任	shang ren	3237
上会	shang hui	976
上传	shang chuan	17688
上位	shang wei	8085
上佳	shang jia	1080
上党	shang dang	1544
上册	shang ce	1347
上写	shang xie	3218
上分	shang fen	3027
上到	shang dao	4135
上前	shang qian	5187
上力	shang li	1058
上加	shang jia	1522
上北	shang bei	1079
上千	shang qian	4807
上升	shang sheng	35055
上午	shang wu	19672
上单	shang dan	2311
上博	shang bo	958
上压	shang ya	798
上去	shang qu	32012
上古	shang gu	5960
上台	shang tai	9608
上号	shang hao	904
上司	shang si	8754
上吊	shang diao	1099
上吗	shang ma	1508
上吧	shang ba	1164
上呗	shang bei	1310
上周	shang zhou	6380
上品	shang pin	835
上啊	shang a	1260
上善	shang shan	882
上图	shang tu	31105
上地	shang di	1431
上场	shang chang	10107
上坡	shang po	2157
上塔	shang ta	868
上墙	shang qiang	1008
上墨	shang mo	909
上声	shang sheng	828
上外	shang wai	4958
上天	shang tian	9706
上头	shang tou	6892
上奏	shang zou	829
上好	shang hao	785
上妆	shang zhuang	823
上字	shang zi	1791
上学	shang xue	18005
上完	shang wan	5347
上官	shang guan	876
上家	shang jia	1362
上将	shang jiang	2248
上尉	shang wei	1205
上层	shang ceng	10340
上届	shang jie	1055
上山	shang shan	4707
上岗	shang gang	2393
上岸	shang an	22614
上市	shang shi	37724
上帝	shang di	24928
上年	shang nian	1822
上床	shang chuang	3674
上底	shang di	798
上开	shang kai	1728
上当	shang dang	2506
上心	shang xin	2194
上思	shang si	1022
上户	shang hu	1030
上手	shang shou	24925
上扬	shang yang	1893
上批	shang pi	882
上把	shang ba	2735
上报	shang bao	4625
上探	shang tan	847
上提	shang ti	1033
上放	shang fang	753
上文	shang wen	10544
上新	shang xin	2160
上方	shang fang	14972
上映	shang ying	17521
上月	shang yue	920
上有	shang you	18583
上期	shang qi	1962
上本	shang ben	1454
上杉	shang shan	1098
上来	shang lai	34964
上林	shang lin	1138
上架	shang jia	9925
上栗	shang li	878
上校	shang xiao	2967
上桌	shang zhuo	1620
上梁	shang liang	1008
上楼	shang lou	3156
上榜	shang bang	3332
上次	shang ci	21766
上汽	shang qi	913
上流	shang liu	1240
上浮	shang fu	2204
上海	shang hai	57547
上涨	shang zhang	20372
上港	shang gang	2273
上游	shang you	6782
上湖	shang hu	823
上漂	shang piao	823
上演	shang yan	5837
上火	shang huo	5495
上灯	shang deng	999
上点	shang dian	1764
上爬	shang pa	1395
上片	shang pian	1140
上牌	shang pai	1281
上牙	shang ya	1066
上班	shang ban	41837
上田	shang tian	1112
上电	shang dian	1161
上略	shang lve	1004
上瘾	shang yin	5228
上百	shang bai	4073
上的	shang de	259807
上皇	shang huang	1238
上皮	shang pi	980
上盆	shang pen	765
上盖	shang gai	798
上看	shang kan	15939
上礼	shang li	952
上称	shang cheng	1714
上移	shang yi	879
上空	shang kong	3862
上窜	shang cuan	873
上站	shang zhan	760
上端	shang duan	738
上等	shang deng	1806
上策	shang ce	1055
上篮	shang lan	3740
上级	shang ji	11241
上纲	shang gang	888
上纽	shang niu	814
上线	shang xian	30524
上编	shang bian	990
上缴	shang jiao	1513
上网	shang wang	13276
上美	shang mei	1458
上联	shang lian	1011
上肢	shang zhi	2622
上胸	shang xiong	896
上能	shang neng	1972
上脑	shang nao	1084
上脸	shang lian	1410
上腾	shang teng	891
上膛	shang tang	876
上臂	shang bi	1193
上自	shang zi	1701
上至	shang zhi	2100
上舰	shang jian	896
上船	shang chuan	3001
上色	shang se	5448
上苍	shang cang	816
上药	shang yao	986
上菜	shang cai	11357
上落	shang luo	1215
上街	shang jie	2575
上衣	shang yi	4104
上表	shang biao	2147
上访	shang fang	854
上证	shang zheng	3825
上诉	shang su	3319
上课	shang ke	50400
上调	shang tiao	2120
上财	shang cai	1453
上跨	shang kua	936
上路	shang lu	5300
上跳	shang tiao	1585
上身	shang shen	4814
上车	shang che	9103
上边	shang bian	7473
上达	shang da	5369
上过	shang guo	8695
上进	shang jin	3278
上述	shang shu	60068
上送	shang song	1130
上通	shang tong	1332
上道	shang dao	753
上邪	shang xie	3057
上郡	shang jun	808
上部	shang bu	1770
上都	shang dou	2236
上量	shang liang	832
上钩	shang gou	879
上铁	shang tie	1008
上铺	shang pu	1466
上锁	shang suo	823
上镇	shang zhen	819
上镜	shang jing	1137
上门	shang men	6638
上阵	shang zhen	1561
上限	shang xian	30056
上陵	shang ling	864
上集	shang ji	1444
上面	shang mian	225169
上顿	shang dun	963
上颚	shang e	744
上风	shang feng	995
上餐	shang can	1174
上饭	shang fan	1246
上马	shang ma	1433
上麦	shang mai	824
下一	xia yi	3046
下下	xia xia	1178
下个	xia ge	5888
下乡	xia xiang	1108
下乳	xia ru	1233
下了	xia le	14252
下人	xia ren	1623
下代	xia dai	1251
下令	xia ling	6142
下体	xia ti	1099
下作	xia zuo	1024
下修	xia xiu	1076
下入	xia ru	1171
下关	xia guan	854
下册	xia ce	1039
下凡	xia fan	1174
下凹	xia ao	806
下分	xia fen	1512
下列	xia lie	6123
下刘	xia liu	968
下到	xia dao	3108
下包	xia bao	1115
