# 官网形码审计表(2026-09-15):hanzi_shapes.tsv 切换前的差异比对数据,不被 include_str 消费
# source: flypy.cc ixdata.json 8414 字;列:字<TAB>官网形码集合(|分隔)<TAB>官网全码(音2形2)<TAB>现表形码(<TAB>标记
# 官网权威性由所有者确认;差异 345 处根因:官网按笔顺首末部件,现表按字义主部件(见 CROSSCHECK.md)
# 切换计划:后续代码 PR 修改 xhup-core shape.rs 消费本表后,hanzi_shapes.tsv 才更新
倨	rk	jurk	rk	
倩	ro	qkro qmro	ro	
倪	re	nire	re	
倬	ru	voru	ru	
倭	rn	worn	rn	
倮	rg	lorg	rg	
倴	rc	bfrc	rc	
债	rr	vdrr	rr	
倻	re	yere	re	
值	rq	virq	rq	
倾	rr	qkrr	rr	
偁	rr	igrr	rr	
偃	rn	yjrn	rn	
假	ry	jxry	ry	
偈	rv	jirv jprv	rv	
偌	rk	rork	rk	
偎	rn	wwrn	rn	
偏	rc	pmrc	rc	
偓	rt	wort	rt	
偕	rb	xprb	rb	
做	rw	zorw	rw	
停	rd	tkrd	rd	
偡	rv	vjrv	rv	
健	rz	jmrz	rz	
偬	rx	zsrx	rx	
偭	rm	mmrm	rm	
偰	rd	xprd	rd	
偲	rx	cdrx sirx	rx	
偶	ry	oury	ry	
偷	rd	tzrd	rd	
偻	rn	lvrn lzrn	rn	
偾	rr	ffrr	rr	
偿	rs	ihrs	rs	
傀	rg	kvrg	rg	
傃	rx	surx	rx	
傅	rc	furc	rc	
傈	rm	lirm	rm	
傉	rc	nurc	rc	
傍	rf	bhrf	rf	
傒	rd	xird	rd	
傕	rf	jtrf	rf	
傣	ru	ddru	ru	
傥	re	thre	re	
傧	rb	bbrb	rb	
储	ro	iuro	ro	
傩	rf	norf	rf	
催	rf	cvrf	rf	
傲	rw	aorw	rw	
傺	rx	iirx	rx	
傻	rw	uarw	rw	
僇	rp	lurp	rp	
僎	rb	vrrb	rb	
像	rn	xlrn	rn	
僔	rc	zyrc	rc	
僖	rk	xirk	rk	
僚	rx	lnrx	rx	
僦	ry	jqry	ry	
僧	ro	sgro	ro	
僬	rh	jnrh	rh	
僭	ro	jmro	ro	
僮	rl	tsrl vlrl	rl	
僰	ar	boar	ar	
僳	rm	surm	rm	
僵	ra	jlra	ra	
僻	ru	piru	ru	
儆	rw	jkrw	rw	
儇	ry	xrry	ry	
儋	rk	djrk	rk	
儒	re	rure	re	
儡	rt	lwrt	rt	
儦	rh	bnrh	rh	
儳	rd	ijrd	rd	
儴	ry	rhry	ry	
儿	pv	erpv	pv	
兀	ae	wuae	ae	
允	se	yyse	se	
元	ee	yree	ee	
兄	ke	xske	ke	
充	we	iswe	we	
兆	ed	vced	ed	
先	ne	xmne	ne	
光	xw	glxw	xw	
克	ue	keue	ue	
免	dv	mmdv	dv	
兑	be	dvbe	be	
兔	dd	tudd	dd	
兕	ae	siae	ae	
兖	we	yjwe	we	
党	xe	dhxe	xe	
兜	pe	dzpe	pe	
兢	ue	jkue	ue	
入	pn	rupn	pn	
全	rw	qrrw	rw	
八	pn	bapn	pn	
公	bs	gsbs	bs	
六	wb	lqwb	wb	
兮	bv	xibv	bv	
兰	bs	ljbs	bs	
共	cb	gscb	cb	
兲	wb	tmwb	-	
关	bt	grbt	bt	
兴	xb	xkxb	xb	
兵	qb	bkqb	qb	
其	qb	jiqb qiqb	qb	
具	qb	juqb	qb	
典	lb	dmlb	qb	DIFF
兹	by	ziby ciby	by	
养	yl	yhyl	yl	
兼	bn	jmbn	bn	
兽	bk	uzbk	bk	
冀	lb	jilb	lb	
冁	bn	ijbn	bn	
内	ld	nwld	ld	
円	ka	yrka	-	
冇	uk	mcuk	-	
冈	kx	ghkx	kx	
冉	la	rjla	la	
册	pa	cepa	pa	
再	ar	zdar	ar	
冏	kk	jskk	kk	
冒	ko	mcko moko	oo	DIFF
冓	ar	gzar	-	
冔	ky	xuky	oy	DIFF
冕	kv	mmkv	ov	DIFF
