价	亻 丨	亻 人 丿 丨	jià jiè jie
任	亻 壬	亻 壬	rèn rén
份	亻 刀	亻 八 刀	fèn bīn
仿	亻 方	亻 方	fǎng
企	人 止	人 止	qǐ
伈	亻 心	亻 心	xǐn
伉	亻 几	亻 亠 几	kàng
伊	亻 尹	亻 尹	yī
伋	亻 及	亻 及	jí
伍	亻 五	亻 五	wǔ
伎	亻 又	亻 十 又	jì
伏	亻 犬	亻 犬	fú
伐	亻 戈	亻 戈	fá
休	亻 木	亻 木	xiū xù
众	人 人	人 人 人	zhòng
优	亻 尤	亻 尤	yōu
伙	亻 火	亻 火	huǒ
会	人 厶	人 二 厶	huì kuài
伛	亻 乂	亻 匚 乂	yǔ
伝	亻 厶	亻 二 厶	yún
伞	人 十	人 丶 丿 十	sǎn
伟	亻 韦	亻 韦	wěi
传	亻 专	亻 专	chuán zhuàn
伢	亻 牙	亻 牙	yá
伣	亻 见下	亻 冂 见下	qiàn xiàn
伤	亻 力	亻 丿 一 力	shāng
伥	亻 长	亻 长	chāng
伦	亻 匕	亻 人 匕	lún
伧	亻 乛	亻 人 乛 乛	cāng chen
伪	亻 为	亻 为	wěi
伫	亻 一	亻 宀 一	zhù
伭	亻 幺	亻 亠 幺	xián xuán
伯	亻 白	亻 白	bó bǎi bà
估	亻 口	亻 十 口	gū gù
伲	亻 匕	亻 尸 匕	nǐ nì
伴	亻 半	亻 半	bàn
伶	亻 龴	亻 人 丶 龴	líng
伸	亻 申	亻 申	shēn
伺	亻 口	亻 乛 一 口	sì cì
似	亻 人	亻 乛 丶 人	sì shì
伽	亻 口	亻 力 口	qié jiā gā
伾	亻 丕	亻 丕	pī
佁	亻 口	亻 厶 口	yǐ chì
佃	亻 田	亻 田	diàn tián
但	亻 一	亻 日 一	dàn
位	亻 立	亻 立	wèi
低	亻 氐	亻 氐	dī
住	亻 主	亻 主	zhù
佐	亻 工	亻 𠂇 工	zuǒ
佑	亻 口	亻 𠂇 口	yòu
体	亻 本	亻 本	tǐ tī bèn
何	亻 口	亻 丁 口	hé hē hè
佖	亻 必	亻 必	bì
佗	亻 匕	亻 宀 匕	tuó
佘	人 小	人 二 小	shé
余	人 余下	人 余下	yú
佚	亻 失	亻 失	yì
佛	亻 弗	亻 弗	fó fú bì bó
作	亻 乍	亻 乍	zuò zuō
佝	亻 口	亻 勹 口	gōu kòu
佞	亻 女	亻 二 女	nìng
佟	亻 丶	亻 夂 丶 丶	tóng
你	亻 小	亻 ⺈ 小	nǐ
佢	亻 巨	亻 巨	qú
佣	亻 用	亻 用	yōng yòng
佤	亻 瓦	亻 瓦	wǎ
佥	人 一	人 一 ⺍ 一	qiān
佧	亻 卜	亻 上 卜	kǎ
佩	亻 巾	亻 几 一 巾	pèi
佬	亻 匕	亻 耂 匕	lǎo
佯	亻 羊	亻 羊	yáng
佰	亻 百	亻 百	bǎi
佳	亻 土	亻 土 土	jiā
佴	亻 耳	亻 耳	ěr nài
佶	亻 口	亻 士 口	jí
佸	亻 口	亻 千 口	huó
佺	亻 王	亻 人 王	quán
佻	亻 丶	亻 儿 冫 丿 丶	tiāo
佼	亻 乂	亻 亠 八 乂	jiǎo
佽	亻 人	亻 冫 ⺈ 人	cì
佾	亻 月	亻 八 月	yì
使	亻 吏	亻 吏	shǐ
侁	亻 儿	亻 ⺧ 儿	shēn
侂	亻 七	亻 广 丿 七	tuō
侃	亻 乛	亻 口 丿 丨 乛	kǎn
侄	亻 土	亻 一 厶 土	zhí
侈	亻 夕	亻 夕 夕	chǐ
侉	亻 亏	亻 大 亏	kuǎ
例	亻 刂	亻 歹 刂	lì
侍	亻 寸	亻 土 寸	shì
侏	亻 朱	亻 朱	zhū
侑	亻 月	亻 𠂇 月	yòu
侔	亻 牛	亻 厶 牛	móu
侗	亻 口	亻 冂 一 口	dòng tóng tǒng
侘	亻 七	亻 宀 丿 七	chà
供	亻 八	亻 艹 一 八	gōng gòng
依	亻 𧘇	亻 亠 𧘇	yī
侠	亻 夹	亻 夹	xiá
価	亻 西	亻 西	jià
侣	亻 口	亻 口 口	lǚ
侥	亻 兀	亻 一 乛 丿 兀	jiǎo yáo
侦	亻 人	亻 丨 一 冂 人	zhēn
侧	亻 刂	亻 冂 人 刂	cè zè zhāi
侨	亻 丨	亻 夭 丿 丨	qiáo
侩	亻 厶	亻 人 二 厶	kuài
侪	亻 丨	亻 文 丿 丨	chái
侬	亻 农	亻 农	nóng
侮	亻 母	亻 丿 一 母	wǔ
侯	亻 矢	亻 乛 一 矢	hóu hòu
侴	人 刂	人 一 丑 刂	hào chǒu
侵	亻 又	亻 彐 冖 又	qīn
侹	亻 廴	亻 壬 廴	tǐng
便	亻 更	亻 更	biàn pián
係	亻 小	亻 丿 幺 小	xì
促	亻 人	亻 口 丨 一 人	cù
俄	亻 我	亻 我	é
俅	亻 求	亻 求	qiú
俊	亻 夂	亻 厶 八 夂	jùn
俍	亻 良	亻 良	liáng
俎	人 且	人 人 且	zǔ
俏	亻 月	亻 ⺌ 月	qiào xiào
俐	亻 刂	亻 禾 刂	lì
俑	亻 用	亻 龴 用	yǒng
俗	亻 口	亻 八 人 口	sú
俘	亻 子	亻 丿 ⺍ 子	fú
俙	亻 巾	亻 乂 𠂇 巾	xī
俚	亻 里	亻 里	lǐ
俜	亻 乛	亻 由 一 乛	pīng
保	亻 木	亻 口 木	bǎo
俞	人 刂	人 一 月 刂	yú yù shù
俟	亻 矢	亻 厶 矢	sì qí
信	亻 口	亻 亠 一 一 口	xìn shēn
俣	亻 天	亻 口 天	yǔ
俤	亻 丿	亻 丷 乛 一 乛 丨 丿	dì
俦	亻 寸	亻 寿上 寸	chóu
俨	亻 严	亻 严	yǎn
俩	亻 两	亻 两	liǎng liǎ
俪	亻 丽	亻 丽	lì
俫	亻 来	亻 来	lái
俭	亻 一	亻 人 一 ⺍ 一	jiǎn
修	亻 丿	亻 丨 夂 丿 丿 丿	xiū
俯	亻 寸	亻 广 亻 寸	fǔ
俱	亻 八	亻 具上 八	jù
俳	亻 非	亻 非	pái
俵	亻 𧘇	亻 龶 𧘇	biào
俶	亻 又	亻 上 小 又	chù tì
俸	亻 丨	亻 寿上 ㄟ 一 一 丨	fèng
俺	亻 电	亻 大 电	ǎn
俾	亻 十	亻 丿 丨 乛 一 一 丿 十	bǐ
倌	亻 㠯	亻 宀 㠯	guān
倍	亻 口	亻 立 口	bèi
倏	亻 犬	亻 丨 夂 犬	shū
倒	亻 刂	亻 一 厶 土 刂	dǎo dào
倓	亻 火	亻 火 火	tán tǎn
倔	亻 出	亻 尸 出	jué juè
倕	亻 垂	亻 垂	chuí
倘	亻 口	亻 ⺌ 冂 口	tǎng cháng
候	亻 矢	亻 丨 乛 一 矢	hòu
倚	亻 口	亻 大 丁 口	yǐ
倜	亻 口	亻 冂 土 口	tì
倞	亻 小	亻 亠 口 小	liàng jìng
借	亻 日	亻 艹 一 日	jiè
倡	亻 日	亻 日 日	chàng chāng
倥	亻 工	亻 宀 八 工	kōng kǒng
倦	亻 乛	亻 龹 乛 乛	juàn
倧	亻 小	亻 宀 二 小	zōng
倨	亻 口	亻 尸 十 口	jù
倩	亻 月	亻 龶 月	qiàn qìng
倪	亻 儿	亻 臼 儿	ní
倬	亻 十	亻 丨 一 日 十	zhuō
倭	亻 女	亻 禾 女	wō wēi
倮	亻 果	亻 果	luǒ
倴	亻 廾	亻 大 十 廾	bèn
债	亻 人	亻 龶 冂 人	zhài
倻	亻 阝	亻 耳 阝	yē
值	亻 具上	亻 十 具上	zhí
倾	亻 人	亻 比左 一 丿 冂 人	qīng
偁	亻 冉	亻 丿 ⺍ 冉	chēng
偃	亻 女	亻 匚 日 女	yǎn
假	亻 又	亻 乛 一 丨 一 一 乛 一 又	jiǎ jià
偈	亻 乛	亻 日 勹 人 乛	jì jié
偌	亻 口	亻 艹 𠂇 口	ruò
偎	亻 ㄟ	亻 田 一 乛 丿 ㄟ	wēi
偏	亻 艹	亻 户 冂 艹	piān
偓	亻 土	亻 尸 一 厶 土	wò
偕	亻 白	亻 比左 匕 白	xié
做	亻 攵	亻 十 口 攵	zuò
停	亻 丁	亻 亠 口 冖 丁	tíng
偡	亻 乛	亻 其上 八 乛	zhàn
健	亻 廴	亻 聿 廴	jiàn
偬	亻 心	亻 匆 心	zǒng
偭	亻 面	亻 面	miǎn
偰	亻 大	亻 丰 刀 大	xiè
偲	亻 心	亻 田 心	cāi sī
偶	亻 禺	亻 禺	ǒu
偷	亻 刂	亻 人 一 月 刂	tōu
偻	亻 女	亻 米 女	lǚ lóu
偾	亻 人	亻 十 艹 冂 人	fèn
偿	亻 厶	亻 ⺌ 冖 二 厶	cháng
傀	亻 鬼	亻 鬼	kuǐ
